Update Date and Time (ISO),Update Duration (ms),Reading Date and Time (ISO),Air pressure (mb),Air temperature (C),Tide height (m),Wind direction (deg),Wind gust speed (kn),Wind speed (kn),True air temperature (C),True tide height (m),Independent tide height prediction (m),Independent tide height deviation (m),Dependent tide height prediction (m),Dependent tide height deviation (m),Independent air temperature prediction (C),Independent air temperature deviation (C),Dependent air temperature prediction (C),Dependent air temperature deviation (C)
2007-05-26T12:05:00,0,2007-05-26T12:05:00,,,,,,,16.92,2.3,2.4007,0.03911,2.3715,0.03667,17.2348,0.23222,17.2339,0.23187
2007-05-26T12:10:00,0,2007-05-26T12:10:00,1006,16.7,2.3,22,12,12.4,16.42,2.24,2.4016,0.058707,2.3365,0.045564,17.1932,0.29931,17.1848,0.29732
2007-05-26T12:15:00,0,2007-05-26T12:15:00,1006,16,2.2,13,18.1,13.2,16,2.19,2.2945,0.037006,2.2836,0.029853,16.8005,0.25186,16.813,0.2492
2007-05-26T12:20:00,0,2007-05-26T12:20:00,1006,15.9,2.1,16,14.2,13,15.92,2.14,2.1455,0.021627,2.1553,0.019945,16.0734,0.17207,16.0621,0.17101
2007-05-26T12:25:00,0,2007-05-26T12:25:00,1005,16.1,2.1,12,14.4,12,16.08,2.09,2.09,0.028609,2.1115,0.023468,15.8401,0.21507,15.8126,0.21158
2007-05-26T12:30:00,0,2007-05-26T12:30:00,,,,,,,16.83,2.05,2.0419,0.027407,2.0642,0.022255,15.7375,0.20412,15.7294,0.20055
2007-05-26T12:35:00,0,2007-05-26T12:35:00,1005,17.4,2,2,15.4,13.8,17.83,2.01,1.9907,0.035981,2.0257,0.02715,15.532,0.24708,15.4981,0.24113
2007-05-26T12:40:00,0,2007-05-26T12:40:00,1005,17.3,2,8,11.3,12.2,17.25,1.97,1.9743,0.021228,1.9839,0.019161,16.7486,0.1651,16.6806,0.16279
2007-05-26T12:45:00,0,2007-05-26T12:45:00,1005,17.6,2,16,15.2,10.9,17.58,1.95,1.9361,0.027829,1.9493,0.023059,16.7721,0.19571,16.6877,0.19175
2007-05-26T12:50:00,0,2007-05-26T12:50:00,1005,17.3,1.9,27,13.6,12.5,17.25,1.93,1.9388,0.026966,1.9295,0.021669,17.1471,0.18507,17.0626,0.18173
2007-05-26T12:55:00,0,2007-05-26T12:55:00,,,,,,,17.42,1.9,1.8933,0.026629,1.893,0.021299,17.2843,0.17869,17.2219,0.17573
2007-05-26T13:00:00,0,2007-05-26T13:00:00,1005,17.3,1.9,20,12.4,10.4,17.58,1.89,1.8682,0.034997,1.8815,0.02505,17.3715,0.21138,17.2892,0.20693
2007-05-26T13:05:00,0,2007-05-26T13:05:00,1005,17.1,1.9,10,15.4,14.3,16.67,1.88,1.8846,0.021066,1.8798,0.018343,17.3101,0.15525,17.2815,0.1536
2007-05-26T13:10:00,0,2007-05-26T13:10:00,1005,17.1,1.9,357,13.6,9.8,17.08,1.88,1.875,0.027343,1.8604,0.021738,17.3749,0.18345,17.356,0.18067
2007-05-26T13:15:00,0,2007-05-26T13:15:00,1005,16.5,1.9,21,14.2,11.1,16.5,1.86,1.8905,0.019797,1.8714,0.017543,17.0678,0.1467,17.075,0.1453
2007-05-26T13:20:00,0,2007-05-26T13:20:00,,,,,,,16,1.86,1.8929,0.025951,1.8606,0.02062,17.0713,0.1745,17.0955,0.17195
2007-05-26T13:25:00,0,2007-05-26T13:25:00,1005,16.1,1.9,8,12.2,11.5,16.17,1.85,1.8985,0.033788,1.8564,0.023853,17.0735,0.20726,17.1177,0.20297
2007-05-26T13:30:00,0,2007-05-26T13:30:00,1005,16.1,1.9,6,15.4,9.6,16.08,1.86,1.9081,0.028969,1.8752,0.022141,16.6319,0.19189,16.696,0.18845
2007-05-26T13:35:00,0,2007-05-26T13:35:00,1005,16.3,1.9,6,15.2,12.1,16.25,1.87,1.9146,0.026971,1.9029,0.021107,16.3471,0.18281,16.4078,0.1798
2007-05-26T13:40:00,0,2007-05-26T13:40:00,1005,16.1,1.9,356,15.2,12.3,16.08,1.88,1.919,0.026128,1.9207,0.02054,16.2293,0.17734,16.2795,0.17451
2007-05-26T13:45:00,0,2007-05-26T13:45:00,,,,,,,16.42,1.89,1.9214,0.025834,1.9307,0.020207,16.0768,0.17409,16.127,0.17133
2007-05-26T13:50:00,0,2007-05-26T13:50:00,1005,17.2,1.9,9,14,10.2,16.92,1.91,1.9148,0.022396,1.9267,0.018884,16.4414,0.16165,16.4757,0.1595
2007-05-26T13:55:00,0,2007-05-26T13:55:00,1004,17.4,1.9,18,15,9.1,17.42,1.94,1.9234,0.028937,1.9355,0.021785,16.4068,0.19096,16.4593,0.1873
2007-05-26T14:00:00,0,2007-05-26T14:00:00,1005,18,2,30,13,11.4,18,1.96,1.955,0.02005,1.9549,0.017474,17.1792,0.14897,17.1976,0.14726
2007-05-26T14:05:00,0,2007-05-26T14:05:00,,,,,,,17.42,1.97,1.972,0.026114,1.9765,0.020472,17.2703,0.17621,17.2928,0.17321
